"","ano","time","vitoria","empate","derrota","GP","GC","SG","campeao1","campeao4","derrotado4"
"99",2016,"Sport",7,5,8,30,29,1,0,0,0
"100",2016,"Vitória",5,8,7,26,30,-4,0,0,0
"101",2017,"Athletico Paranaense",8,5,7,25,23,2,0,0,0
"102",2017,"Atlético Goianiense",4,3,13,17,34,-17,0,0,1
"103",2017,"Atlético Mineiro",7,5,8,21,23,-2,0,0,0
"104",2017,"Avaí",5,6,9,11,25,-14,0,0,1
"105",2017,"Bahia",6,5,9,25,28,-3,0,0,0
"106",2017,"Botafogo",7,7,6,22,20,2,0,0,0
"107",2017,"Chapecoense",6,4,10,24,34,-10,0,0,0
"108",2017,"Corinthians",15,5,0,33,9,24,1,1,0
"109",2017,"Coritiba",7,4,9,21,26,-5,0,0,1
"110",2017,"Cruzeiro",7,6,7,23,19,4,0,0,0
"111",2017,"Flamengo",7,8,5,27,21,6,0,0,0
"112",2017,"Fluminense",6,9,5,29,27,2,0,0,0
"113",2017,"Grêmio",12,3,5,35,19,16,0,1,0
"114",2017,"Palmeiras",10,3,7,29,21,8,0,1,0
"115",2017,"Ponte Preta",6,6,8,20,24,-4,0,0,1
"116",2017,"Santos",10,6,4,22,13,9,0,1,0
"117",2017,"São Paulo",6,4,10,25,28,-3,0,0,0
"118",2017,"Sport",8,5,7,30,26,4,0,0,0
"119",2017,"Vasco da Gama",7,4,9,22,31,-9,0,0,0
"120",2017,"Vitória",5,4,11,21,31,-10,0,0,1
"121",2018,"América",7,4,9,20,24,-4,0,0,1
"122",2018,"Athletico Paranaense",5,6,9,22,21,1,0,0,0
"123",2018,"Atlético Mineiro",10,4,6,36,26,10,0,0,0
"124",2018,"Bahia",6,7,7,22,24,-2,0,0,0
"125",2018,"Botafogo",5,7,8,18,27,-9,0,0,0
"126",2018,"Ceará",3,8,9,12,23,-11,0,0,0
"127",2018,"Chapecoense",5,9,6,21,27,-6,0,0,0
"128",2018,"Corinthians",7,5,8,22,17,5,0,0,0
"129",2018,"Cruzeiro",7,6,7,16,17,-1,0,0,0
"130",2018,"Flamengo",12,4,4,30,15,15,0,1,0
"131",2018,"Fluminense",7,5,8,20,24,-4,0,0,0
"132",2018,"Grêmio",10,7,3,24,9,15,0,1,0
"133",2018,"Internacional",12,5,3,28,12,16,0,1,0
"134",2018,"Palmeiras",10,6,4,31,15,16,1,1,0
"135",2018,"Paraná",3,6,11,10,26,-16,0,0,1
"136",2018,"Santos",5,7,8,22,24,-2,0,0,0
"137",2018,"São Paulo",12,6,2,33,17,16,0,0,0
"138",2018,"Sport",5,5,10,19,32,-13,0,0,1
"139",2018,"Vasco da Gama",5,7,8,23,29,-6,0,0,0
"140",2018,"Vitória",5,4,11,20,40,-20,0,0,1
"141",2019,"Athletico Paranaense",8,3,9,26,20,6,0,0,0
"142",2019,"Atlético Mineiro",8,3,9,24,24,0,0,0,0
"143",2019,"Avaí",3,7,10,11,25,-14,0,0,1
"144",2019,"Bahia",8,7,5,23,18,5,0,0,0
"145",2019,"Botafogo",8,3,9,19,21,-2,0,0,0
"146",2019,"Ceará",6,4,10,21,21,0,0,0,0
"147",2019,"Chapecoense",3,5,12,17,33,-16,0,0,1
"148",2019,"Corinthians",9,8,3,23,13,10,0,0,0
"149",2019,"Cruzeiro",4,6,10,17,30,-13,0,0,1
"150",2019,"Csa",4,7,9,9,25,-16,0,0,1
"151",2019,"Flamengo",14,3,3,44,19,25,1,1,0
"152",2019,"Fluminense",5,3,12,21,32,-11,0,0,0
"153",2019,"Fortaleza",6,4,10,22,27,-5,0,0,0
"154",2019,"Goiás",7,3,10,20,32,-12,0,0,0
"155",2019,"Grêmio",8,7,5,30,22,8,0,1,0
"156",2019,"Internacional",11,3,6,26,17,9,0,0,0
"157",2019,"Palmeiras",12,6,2,31,14,17,0,1,0
"158",2019,"Santos",11,4,5,30,22,8,0,1,0
"159",2019,"São Paulo",9,8,3,23,14,9,0,0,0
"160",2019,"Vasco da Gama",6,6,8,19,27,-8,0,0,0
"161",2020,"Athletico Paranaense",6,4,10,17,21,-4,0,0,0
"162",2020,"Atlético Goianiense",5,8,7,18,26,-8,0,0,0
"163",2020,"Atlético Mineiro",11,2,7,35,25,10,0,1,0
"164",2020,"Bahia",7,4,9,26,29,-3,0,0,1
"165",2020,"Botafogo",3,11,6,19,27,-8,0,0,1
"166",2020,"Ceará",6,7,7,24,27,-3,0,0,0
"167",2020,"Corinthians",6,7,7,23,27,-4,0,0,0
"168",2020,"Coritiba",5,5,10,18,26,-8,0,0,1
"169",2020,"Flamengo",10,5,5,33,29,4,0,1,0
"170",2020,"Fluminense",9,5,6,29,22,7,0,0,0
"171",2020,"Fortaleza",6,7,7,18,16,2,0,0,0
"172",2020,"Goiás",2,6,12,22,38,-16,0,0,1
"173",2020,"Grêmio",8,9,3,24,18,6,0,0,0
"174",2020,"Internacional",10,6,4,32,18,14,0,1,0
"175",2020,"Palmeiras",9,7,4,28,20,8,0,0,0
"176",2020,"Red Bull Bragantino",4,8,8,23,27,-4,0,0,0
"177",2020,"Santos",8,7,5,28,24,4,0,0,0
"178",2020,"São Paulo",11,7,2,34,16,18,1,1,0
"179",2020,"Sport",7,4,9,19,26,-7,0,0,0
"180",2020,"Vasco da Gama",6,5,9,22,26,-4,0,0,1
"181",2021,"América",5,7,8,17,22,-5,0,0,0
"182",2021,"Athletico Paranaense",7,4,9,25,25,0,0,0,0
"183",2021,"Atlético Goianiense",6,8,6,16,20,-4,0,0,0
"184",2021,"Atlético Mineiro",14,3,3,31,14,17,1,1,0
"185",2021,"Bahia",6,4,10,24,32,-8,0,0,0
"186",2021,"Botafogo",1,1,9,7,23,-16,0,0,1
"187",2021,"Ceará",5,9,6,20,23,-3,0,0,0
"188",2021,"Chapecoense",1,7,12,17,32,-15,0,0,0
"189",2021,"Corinthians",7,8,5,19,17,2,0,0,0
"190",2021,"Coritiba",2,4,5,10,17,-7,0,0,1
"191",2021,"Cuiabá",6,9,5,21,20,1,0,0,0
"192",2021,"Flamengo",12,3,5,41,21,20,0,1,0
"193",2021,"Fluminense",7,7,6,20,21,-1,0,1,0
"194",2021,"Fortaleza",9,6,5,29,22,7,0,0,0
"195",2021,"Goiás",4,2,5,14,21,-7,0,0,1
"196",2021,"Grêmio",5,5,10,17,22,-5,0,0,0
"197",2021,"Internacional",6,9,5,24,23,1,0,0,0
"198",2021,"Juventude",5,8,7,17,23,-6,0,0,0
"199",2021,"Palmeiras",12,3,5,32,22,10,0,1,0
"200",2021,"Red Bull Bragantino",8,9,3,31,22,9,0,1,0
"201",2021,"Santos",5,8,7,20,25,-5,0,0,0
"202",2021,"São Paulo",5,8,7,16,22,-6,0,0,0
"203",2021,"Sport",3,8,9,8,15,-7,0,0,0
"204",2021,"Vasco da Gama",3,4,5,11,17,-6,0,0,1
"205",2022,"América",7,3,10,16,23,-7,0,0,0
"206",2022,"Athletico Paranaense",10,4,6,25,20,5,0,0,0
"207",2022,"Atlético Goianiense",4,5,11,19,32,-13,0,0,1
"208",2022,"Atlético Mineiro",8,8,4,27,23,4,0,0,0
"209",2022,"Avaí",6,3,11,21,33,-12,0,0,1
"210",2022,"Botafogo",7,3,10,19,25,-6,0,0,0
"211",2022,"Ceará",5,9,6,21,21,0,0,0,1
"212",2022,"Corinthians",11,5,4,25,19,6,0,1,0
"213",2022,"Coritiba",6,4,10,22,31,-9,0,0,0
"214",2022,"Cuiabá",5,5,10,14,21,-7,0,0,0
"215",2022,"Flamengo",10,3,7,30,19,11,0,0,0
"216",2022,"Fluminense",10,5,5,31,22,9,0,1,0
"217",2022,"Fortaleza",4,6,10,16,23,-7,0,0,0
"218",2022,"Goiás",6,7,7,22,25,-3,0,0,0
"219",2022,"Internacional",8,9,3,30,20,10,0,1,0
"220",2022,"Juventude",3,7,10,16,33,-17,0,0,1
"221",2022,"Palmeiras",12,6,2,33,14,19,1,1,0
"222",2022,"Red Bull Bragantino",8,6,6,31,23,8,0,0,0
"223",2022,"Santos",6,9,5,24,18,6,0,0,0
"224",2022,"São Paulo",5,11,4,28,25,3,0,0,0
